Product_ID,Product_Name,Category,Current_Stock,Units_Sold_Last_7_Days,Average_Daily_Sales,Demand_Forecast,Restock
P066,Men's Dhoti,Men's Wear,189,27,3.7,23.25,NO
P067,Silk Saree,Saree,82,35,5.38,47.41,NO
P068,Casual Shirt,Shirt,127,121,17.15,141.86,YES
P069,Formal Shirt,Shirt,177,4,0.53,3.86,NO
P070,Casual Shirt,Shirt,169,13,1.98,13.63,NO
P071,Jeans,Jeans,156,14,1.82,12.18,NO
P072,Silk Saree,Saree,166,11,1.64,14.43,NO
P073,T-Shirt,T-Shirt,187,20,3.01,19.63,NO
P074,Leggings,Women's Wear,168,44,6.1,65.75,NO
P075,Women's Top,Women's Wear,32,40,6.09,49.86,YES
P076,Leggings,Women's Wear,96,16,2.29,18.84,NO
P077,Salwar,Traditional Wear,110,57,8.08,93.75,NO
P078,Leggings,Women's Wear,15,18,2.34,22.45,NO
P079,Kids Dress,Kids Wear,22,90,12.32,74.11,YES
P080,Chudidar,Traditional Wear,134,19,2.95,34.01,NO
P081,Women's Top,Women's Wear,25,27,3.77,29.46,YES
P082,Cotton Saree,Saree,95,65,9.37,61.69,NO
P083,Men's Dhoti,Men's Wear,11,13,1.87,19.16,YES
P084,Cotton Shirt,Shirt,71,94,13.67,125.69,YES
P085,T-Shirt,T-Shirt,132,9,1.17,9.53,NO
P086,Silk Saree,Saree,105,69,9.59,70.58,NO
P087,Chudidar,Traditional Wear,116,43,6.42,60.62,NO
P088,T-Shirt,T-Shirt,196,60,8.06,62.22,NO
P089,Silk Saree,Saree,176,22,2.96,35.28,NO
P090,Men's Dhoti,Men's Wear,25,10,1.29,8.39,NO
P091,Kurti,Kurti,132,17,2.4,27.43,NO
P092,Kurti,Kurti,21,73,11.23,105.53,YES
P093,Casual Shirt,Shirt,12,78,10.14,111.58,YES
P094,T-Shirt,T-Shirt,155,55,7.37,78.46,NO
P095,Kurti,Kurti,160,10,1.37,15.08,NO
P096,Kids Dress,Kids Wear,106,79,11.81,93.61,NO
P097,Women's Top,Women's Wear,22,27,3.97,29.87,YES
P098,Silk Saree,Saree,96,34,4.78,33.6,YES
P099,Casual Shirt,Shirt,17,15,2.25,27.1,YES
P100,Leggings,Women's Wear,116,26,3.8,40.71,NO
P101,Silk Saree,Saree,29,11,1.7,12.85,NO
P102,Casual Shirt,Shirt,25,70,10.64,72.19,YES
P103,Men's Dhoti,Men's Wear,143,115,15.62,130.89,NO
P104,T-Shirt,T-Shirt,38,11,1.5,15.09,NO
P105,Men's Dhoti,Men's Wear,160,85,11.23,97.19,NO
P106,Women's Top,Women's Wear,153,30,4.15,44.35,NO
P107,Women's Top,Women's Wear,175,15,2.36,28.87,YES
P108,Chudidar,Traditional Wear,192,11,1.54,9.88,NO
P109,Men's Dhoti,Men's Wear,165,71,9.58,86.23,NO
P110,Salwar,Traditional Wear,129,14,2.1,16.55,NO
P111,Leggings,Women's Wear,112,82,11.81,92.87,NO
P112,Formal Shirt,Shirt,133,75,9.96,72.46,NO
P113,Men's Dhoti,Men's Wear,45,87,12.13,76.24,YES
P114,Chudidar,Traditional Wear,49,60,8.42,97.65,YES
P115,Jeans,Jeans,165,48,7.21,63.29,NO
P116,Kids Dress,Kids Wear,105,47,6.07,53.88,NO
P117,Silk Saree,Saree,145,45,6.13,73.55,NO
P118,Women's Top,Women's Wear,154,23,3.3,35.99,NO
P119,Jeans,Jeans,168,121,16.49,110.87,NO
P120,Chudidar,Traditional Wear,71,57,8.35,79.15,YES
P121,Casual Shirt,Shirt,73,9,1.28,10.43,YES
P122,Formal Shirt,Shirt,16,102,14.17,156.38,YES
P123,Leggings,Women's Wear,189,22,3.43,37.24,NO
P124,Leggings,Women's Wear,156,70,10.26,107.01,YES
P125,Leggings,Women's Wear,185,11,1.46,13.76,NO
P126,Kids Dress,Kids Wear,69,22,3.18,36.21,NO
P127,Formal Shirt,Shirt,149,41,6.19,39.28,NO
P128,Kids Dress,Kids Wear,5,61,9.08,62.51,YES
P129,Women's Top,Women's Wear,25,126,16.82,135.82,YES
P130,Kids Dress,Kids Wear,166,0,0.0,0.0,NO
P131,Cotton Shirt,Shirt,139,103,14.56,109.17,NO
P132,Formal Shirt,Shirt,98,14,1.86,20.58,NO
P133,Salwar,Traditional Wear,141,96,12.84,151.18,YES
P134,Formal Shirt,Shirt,21,17,2.23,15.8,NO
P135,Chudidar,Traditional Wear,50,20,3.03,22.63,NO
P136,Cotton Shirt,Shirt,150,58,7.66,59.42,NO
P137,Leggings,Women's Wear,175,97,12.82,98.57,NO
P138,Chudidar,Traditional Wear,198,119,18.19,112.82,NO
P139,Chudidar,Traditional Wear,103,56,7.75,91.29,NO
P140,Women's Top,Women's Wear,177,100,12.95,95.13,NO
P141,Palazzo,Women's Wear,88,5,0.65,4.46,NO
P142,Cotton Saree,Saree,140,71,9.42,55.08,NO
P143,Cotton Shirt,Shirt,137,31,4.17,47.74,NO
P144,Chudidar,Traditional Wear,182,60,8.85,93.36,NO
P145,Cotton Saree,Saree,8,103,13.71,161.46,YES
P146,Cotton Saree,Saree,78,28,3.7,39.76,NO
P147,Cotton Shirt,Shirt,51,67,10.08,78.32,YES
P148,Palazzo,Women's Wear,129,80,11.82,88.91,NO
P149,Jeans,Jeans,152,92,12.97,133.77,NO
P150,Casual Shirt,Shirt,12,1,0.14,1.61,NO
P151,Salwar,Traditional Wear,50,89,12.24,117.71,YES
P152,Casual Shirt,Shirt,185,70,9.97,58.91,NO
P153,Formal Shirt,Shirt,33,19,2.72,19.09,NO
P154,Leggings,Women's Wear,34,38,5.31,49.65,YES
P155,Salwar,Traditional Wear,130,82,12.67,121.04,NO
P156,Formal Shirt,Shirt,119,79,10.19,109.59,NO
P157,Chudidar,Traditional Wear,186,42,6.34,43.66,NO
P158,Leggings,Women's Wear,69,9,1.19,10.97,NO
P159,Silk Saree,Saree,175,44,6.66,47.5,NO
P160,Cotton Shirt,Shirt,191,94,13.74,88.04,NO
P161,Salwar,Traditional Wear,146,23,3.51,28.05,NO
P162,Salwar,Traditional Wear,66,63,8.28,57.22,NO
P163,Men's Dhoti,Men's Wear,102,71,10.26,74.72,NO
P164,Chudidar,Traditional Wear,72,67,9.57,75.64,YES
P165,Jeans,Jeans,115,86,12.79,95.55,NO
P166,Cotton Saree,Saree,132,36,5.18,34.63,NO
P167,Leggings,Women's Wear,66,18,2.59,18.31,NO
P168,Chudidar,Traditional Wear,138,16,2.25,17.88,NO
P169,Kurti,Kurti,120,4,0.55,3.42,NO
P170,Palazzo,Women's Wear,93,14,1.99,20.5,NO
P171,Cotton Saree,Saree,195,18,2.38,19.89,NO
P172,Cotton Shirt,Shirt,196,14,2.18,16.49,NO
P173,Cotton Saree,Saree,128,45,6.7,53.12,YES
P174,Jeans,Jeans,90,48,7.48,77.49,YES
P175,Women's Top,Women's Wear,91,80,10.8,123.56,YES
P176,Men's Dhoti,Men's Wear,62,12,1.84,19.74,NO
P177,Cotton Saree,Saree,28,143,21.69,227.18,YES
P178,Cotton Shirt,Shirt,11,69,10.21,90.34,YES
P179,Jeans,Jeans,76,63,9.23,96.63,YES
P180,Casual Shirt,Shirt,40,79,10.87,102.99,NO
P181,Salwar,Traditional Wear,129,126,19.14,139.26,YES
P182,Women's Top,Women's Wear,36,11,1.57,10.17,NO
P183,Men's Dhoti,Men's Wear,172,34,4.44,34.93,NO
P184,Salwar,Traditional Wear,175,116,15.95,186.76,YES
P185,Palazzo,Women's Wear,23,30,4.66,42.63,YES
P186,Formal Shirt,Shirt,98,9,1.38,16.0,NO
P187,Women's Top,Women's Wear,149,55,8.61,68.36,NO
P188,Women's Top,Women's Wear,99,150,21.98,186.66,YES
P189,Casual Shirt,Shirt,138,43,5.83,40.02,NO
P190,Casual Shirt,Shirt,57,47,6.26,43.1,NO
P191,Leggings,Women's Wear,173,121,16.2,182.14,YES
P192,Kids Dress,Kids Wear,28,5,0.65,7.22,NO
P193,Cotton Saree,Saree,162,19,2.65,22.56,NO
P194,Women's Top,Women's Wear,142,77,10.32,112.08,NO
P195,Salwar,Traditional Wear,59,98,13.75,101.73,YES
P196,Cotton Shirt,Shirt,94,23,3.57,42.34,NO
P197,T-Shirt,T-Shirt,41,60,8.45,68.71,YES
P198,Kids Dress,Kids Wear,42,42,6.45,53.08,YES
P199,T-Shirt,T-Shirt,73,51,7.44,60.23,NO
P200,Men's Dhoti,Men's Wear,176,48,6.51,44.56,NO
P201,Jeans,Jeans,191,103,14.29,96.75,NO
P202,Salwar,Traditional Wear,159,58,7.6,77.21,NO
P203,Salwar,Traditional Wear,63,66,9.11,103.66,YES
P204,Kids Dress,Kids Wear,1,64,9.47,102.57,YES
P205,Women's Top,Women's Wear,151,11,1.44,10.63,NO
P206,Palazzo,Women's Wear,65,53,7.13,65.7,YES
P207,Kids Dress,Kids Wear,165,28,3.91,24.24,YES
P208,T-Shirt,T-Shirt,30,50,7.83,48.95,YES
P209,Kids Dress,Kids Wear,114,14,2.11,22.57,NO
P210,Salwar,Traditional Wear,25,23,3.44,30.47,YES
P211,Palazzo,Women's Wear,28,54,7.12,47.21,YES
P212,Cotton Saree,Saree,194,60,9.05,57.09,NO
P213,Kurti,Kurti,77,21,3.17,38.56,NO
P214,Leggings,Women's Wear,24,77,11.22,67.11,YES
P215,Silk Saree,Saree,47,53,8.31,71.42,YES
P216,Casual Shirt,Shirt,64,16,2.21,21.01,NO
P217,Kids Dress,Kids Wear,180,105,16.32,110.01,NO
P218,Men's Dhoti,Men's Wear,66,45,6.96,50.42,NO
P219,Formal Shirt,Shirt,89,41,5.28,43.45,NO
P220,Jeans,Jeans,145,14,1.98,19.78,NO
P221,Kurti,Kurti,136,81,12.68,114.44,NO
P222,Leggings,Women's Wear,37,23,3.02,30.99,YES
P223,Leggings,Women's Wear,86,78,11.25,135.5,YES
P224,Leggings,Women's Wear,148,58,9.08,97.27,NO
P225,Leggings,Women's Wear,64,14,2.02,17.5,NO
P226,T-Shirt,T-Shirt,148,9,1.21,8.7,NO
P227,Men's Dhoti,Men's Wear,26,56,8.13,79.06,YES
P228,Men's Dhoti,Men's Wear,105,40,5.38,54.19,NO
P229,Palazzo,Women's Wear,122,58,8.32,74.87,NO
P230,Casual Shirt,Shirt,197,17,2.22,20.77,NO
P231,Salwar,Traditional Wear,43,39,5.69,35.61,NO
P232,Leggings,Women's Wear,99,39,5.59,49.64,NO
P233,Formal Shirt,Shirt,27,72,10.78,82.11,YES
P234,Salwar,Traditional Wear,172,54,7.92,54.67,NO
P235,Men's Dhoti,Men's Wear,16,41,5.92,38.48,YES
P236,Cotton Shirt,Shirt,126,48,7.12,69.45,NO
P237,Cotton Shirt,Shirt,122,37,4.91,46.84,NO
P238,Formal Shirt,Shirt,167,54,7.86,60.32,NO
P239,Palazzo,Women's Wear,130,70,9.34,84.51,NO
P240,Men's Dhoti,Men's Wear,75,15,2.33,19.64,NO
P241,Formal Shirt,Shirt,193,98,12.79,90.09,NO
P242,T-Shirt,T-Shirt,45,63,8.87,90.79,YES
P243,Kids Dress,Kids Wear,157,59,8.76,94.77,YES
P244,Formal Shirt,Shirt,68,39,5.52,59.52,NO
P245,Cotton Saree,Saree,136,100,13.12,128.76,NO
P246,Salwar,Traditional Wear,84,88,12.71,117.94,YES
P247,Kurti,Kurti,10,0,0.0,1.45,NO
P248,Chudidar,Traditional Wear,68,23,3.42,25.81,YES
P249,Palazzo,Women's Wear,98,46,6.4,43.25,NO
P250,Formal Shirt,Shirt,90,9,1.3,13.79,NO
P251,Men's Dhoti,Men's Wear,193,59,8.35,54.99,NO
P252,Jeans,Jeans,158,116,17.14,118.87,NO
P253,Cotton Shirt,Shirt,160,12,1.74,18.36,NO
P254,Cotton Saree,Saree,166,15,2.15,24.88,YES
P255,Casual Shirt,Shirt,93,21,2.85,31.4,NO
P256,Leggings,Women's Wear,173,49,6.3,37.05,NO
P257,Chudidar,Traditional Wear,164,60,8.01,46.45,NO
P258,Women's Top,Women's Wear,114,2,0.26,1.29,NO
P259,Palazzo,Women's Wear,187,78,11.03,75.42,NO
P260,Kurti,Kurti,30,66,9.64,58.38,NO
P261,Chudidar,Traditional Wear,10,5,0.67,7.08,NO
P262,Formal Shirt,Shirt,86,59,9.17,110.04,YES
P263,T-Shirt,T-Shirt,120,52,6.7,53.36,NO
P264,Cotton Shirt,Shirt,129,48,7.23,74.52,NO
P265,Men's Dhoti,Men's Wear,104,8,1.17,10.23,NO
P266,Cotton Shirt,Shirt,26,22,3.06,22.07,NO
P267,Casual Shirt,Shirt,1,29,3.77,39.19,YES
P268,T-Shirt,T-Shirt,102,112,16.41,119.1,YES
P269,Leggings,Women's Wear,100,112,15.63,106.94,YES
P270,Men's Dhoti,Men's Wear,20,10,1.55,15.94,NO
P271,Salwar,Traditional Wear,57,5,0.72,5.97,NO
P272,Silk Saree,Saree,132,15,2.33,28.11,NO
P273,Cotton Saree,Saree,179,7,0.94,6.38,NO
P274,Cotton Shirt,Shirt,172,66,9.85,95.01,NO
P275,Jeans,Jeans,84,21,3.07,27.1,NO
P276,Cotton Shirt,Shirt,92,22,3.29,22.39,NO
P277,Chudidar,Traditional Wear,19,8,1.08,8.39,NO
P278,Cotton Shirt,Shirt,60,59,8.71,85.0,YES
P279,Palazzo,Women's Wear,37,73,10.42,113.36,YES
P280,Cotton Shirt,Shirt,147,59,8.84,99.06,NO
P281,Silk Saree,Saree,24,5,0.69,6.67,NO
P282,Silk Saree,Saree,129,51,7.85,86.6,NO
P283,Leggings,Women's Wear,120,79,10.35,104.84,NO
P284,Kurti,Kurti,159,17,2.58,27.74,NO
P285,Salwar,Traditional Wear,25,65,9.96,89.57,YES
P286,Jeans,Jeans,197,113,17.17,171.15,NO
P287,Cotton Shirt,Shirt,168,86,12.32,137.36,NO
P288,Cotton Shirt,Shirt,66,44,6.21,51.44,NO
P289,Cotton Saree,Saree,0,61,9.58,105.26,YES
P290,Men's Dhoti,Men's Wear,50,123,16.62,162.85,YES
P291,Silk Saree,Saree,4,75,10.81,77.09,YES
P292,Jeans,Jeans,12,8,1.18,7.46,NO
P293,Leggings,Women's Wear,146,115,17.09,140.81,NO
P294,Casual Shirt,Shirt,139,24,3.23,29.48,NO
P295,Kurti,Kurti,47,37,5.45,61.33,YES
P296,Salwar,Traditional Wear,152,27,4.1,29.08,NO
P297,T-Shirt,T-Shirt,56,28,3.64,40.75,NO
P298,Salwar,Traditional Wear,114,36,5.57,62.59,NO
P299,Palazzo,Women's Wear,34,59,7.64,51.52,YES
P300,Chudidar,Traditional Wear,75,17,2.36,25.76,YES
P301,Palazzo,Women's Wear,93,22,2.84,33.32,NO
P302,Cotton Shirt,Shirt,4,21,2.75,27.34,YES
P303,Women's Top,Women's Wear,21,75,11.6,126.05,YES
P304,Kurti,Kurti,102,122,16.92,205.13,YES
P305,Chudidar,Traditional Wear,184,53,7.46,71.53,NO
P306,Jeans,Jeans,174,77,10.37,82.01,NO
P307,T-Shirt,T-Shirt,181,81,11.8,131.13,NO
P308,Silk Saree,Saree,130,55,8.01,76.92,NO
P309,Kurti,Kurti,123,28,3.9,36.75,NO
P310,Kurti,Kurti,52,5,0.69,4.09,NO
P311,Palazzo,Women's Wear,158,10,1.54,16.56,NO
P312,Women's Top,Women's Wear,68,67,9.35,58.85,YES
P313,Cotton Shirt,Shirt,103,62,8.85,105.2,YES
P314,Formal Shirt,Shirt,160,39,5.33,44.28,NO
P315,Leggings,Women's Wear,199,12,1.81,13.2,NO
P316,Palazzo,Women's Wear,177,34,4.76,41.72,NO
P317,Kurti,Kurti,15,73,10.46,66.48,YES
P318,Kids Dress,Kids Wear,115,50,6.79,70.47,NO
P319,Cotton Saree,Saree,75,144,22.58,260.81,YES
P320,T-Shirt,T-Shirt,108,56,7.67,85.67,NO
P321,Leggings,Women's Wear,38,13,1.96,14.64,NO
P322,Palazzo,Women's Wear,88,49,6.9,45.93,NO
P323,T-Shirt,T-Shirt,173,51,6.86,74.11,NO
P324,Cotton Saree,Saree,111,57,8.63,102.58,NO
P325,Casual Shirt,Shirt,46,100,13.81,123.46,YES
P326,Cotton Saree,Saree,171,49,7.51,66.93,NO
P327,Women's Top,Women's Wear,136,49,7.58,60.45,NO
P328,Cotton Saree,Saree,127,16,2.45,27.15,NO
P329,T-Shirt,T-Shirt,177,24,3.11,32.02,NO
P330,Salwar,Traditional Wear,76,4,0.6,3.75,NO
P331,T-Shirt,T-Shirt,187,63,8.84,68.5,NO
P332,Formal Shirt,Shirt,14,8,1.23,15.6,YES
P333,Cotton Shirt,Shirt,35,117,17.18,103.6,YES
P334,Chudidar,Traditional Wear,62,46,7.01,56.64,NO
P335,Salwar,Traditional Wear,68,54,7.71,72.41,YES
P336,Silk Saree,Saree,168,113,16.26,111.12,NO
P337,Chudidar,Traditional Wear,73,113,14.99,98.39,YES
P338,Cotton Shirt,Shirt,23,92,13.89,152.61,YES
P339,Palazzo,Women's Wear,48,44,6.18,71.09,YES
P340,Leggings,Women's Wear,145,31,4.43,48.18,NO
P341,Formal Shirt,Shirt,6,21,3.17,37.59,YES
P342,Formal Shirt,Shirt,3,22,3.2,31.97,YES
P343,Silk Saree,Saree,89,39,5.24,59.97,NO
P344,Salwar,Traditional Wear,196,45,6.54,54.54,NO
P345,Women's Top,Women's Wear,59,14,1.96,18.9,NO
P346,Men's Dhoti,Men's Wear,54,96,13.63,165.78,YES
P347,Casual Shirt,Shirt,15,117,15.14,113.0,YES
P348,Cotton Saree,Saree,28,38,5.11,41.78,YES
P349,Salwar,Traditional Wear,150,60,8.2,75.4,NO
P350,Leggings,Women's Wear,13,75,11.17,75.54,YES
P351,Casual Shirt,Shirt,78,121,15.6,102.73,YES
P352,Formal Shirt,Shirt,176,85,11.92,134.59,NO
P353,T-Shirt,T-Shirt,32,142,22.01,267.64,YES
P354,Leggings,Women's Wear,152,121,15.94,134.76,NO
P355,Cotton Shirt,Shirt,20,92,13.19,83.8,YES
P356,Silk Saree,Saree,144,5,0.76,4.37,NO
P357,Cotton Shirt,Shirt,22,30,4.67,53.22,YES
P358,Men's Dhoti,Men's Wear,56,0,0.0,0.0,NO
P359,Leggings,Women's Wear,185,21,3.13,24.96,NO
P360,Jeans,Jeans,141,53,8.07,71.85,NO
P361,Jeans,Jeans,92,71,10.03,80.33,NO
P362,Palazzo,Women's Wear,19,136,20.62,186.7,NO
P363,Salwar,Traditional Wear,157,16,2.06,21.9,NO
P364,Formal Shirt,Shirt,18,108,16.74,163.98,YES
P365,Formal Shirt,Shirt,180,47,6.64,67.31,NO
P366,Cotton Saree,Saree,102,49,7.07,58.09,NO
P367,Cotton Saree,Saree,183,121,16.44,174.26,NO
P368,Cotton Saree,Saree,76,52,7.79,80.32,YES
P369,T-Shirt,T-Shirt,150,12,1.57,8.92,NO
P370,Chudidar,Traditional Wear,189,105,16.12,153.78,YES
P371,Kurti,Kurti,32,71,10.81,82.32,YES
P372,Chudidar,Traditional Wear,17,9,1.21,12.19,NO
P373,Cotton Shirt,Shirt,72,104,15.78,136.75,YES
P374,Chudidar,Traditional Wear,160,17,2.57,33.09,NO
P375,T-Shirt,T-Shirt,159,76,11.14,74.76,NO
P376,Palazzo,Women's Wear,188,51,7.1,75.28,NO
P377,Cotton Shirt,Shirt,181,89,12.13,122.6,NO
P378,Chudidar,Traditional Wear,16,11,1.49,15.31,NO
P379,T-Shirt,T-Shirt,18,128,17.62,138.57,YES
P380,Kurti,Kurti,69,92,14.2,127.48,YES
P381,Chudidar,Traditional Wear,119,4,0.52,4.52,NO
P382,T-Shirt,T-Shirt,100,35,5.33,41.34,NO
P383,Men's Dhoti,Men's Wear,33,101,13.99,104.84,YES
P384,Cotton Saree,Saree,83,57,8.18,75.26,NO
P385,Men's Dhoti,Men's Wear,152,21,3.18,28.77,NO
P386,Formal Shirt,Shirt,195,39,6.0,45.99,NO
P387,Cotton Saree,Saree,73,36,4.98,37.94,NO
P388,Formal Shirt,Shirt,87,57,8.08,62.73,NO
P389,Kids Dress,Kids Wear,84,50,7.02,76.45,YES
P390,Silk Saree,Saree,10,72,9.28,94.73,YES
P391,Men's Dhoti,Men's Wear,90,19,2.6,30.07,NO
P392,Silk Saree,Saree,143,65,9.21,111.57,NO
P393,Silk Saree,Saree,188,53,7.44,67.11,NO
P394,Kurti,Kurti,126,34,5.07,31.39,NO
P395,Cotton Saree,Saree,112,87,12.14,76.28,NO
P396,Kids Dress,Kids Wear,79,66,9.41,73.47,NO
P397,Formal Shirt,Shirt,6,32,4.51,51.86,YES
P398,T-Shirt,T-Shirt,15,81,12.13,111.13,YES
P399,Cotton Shirt,Shirt,15,44,6.74,50.81,YES
P400,T-Shirt,T-Shirt,167,141,20.27,173.28,YES
P401,Cotton Shirt,Shirt,11,60,9.07,87.09,YES
P402,Men's Dhoti,Men's Wear,34,10,1.37,12.94,NO
P403,Jeans,Jeans,20,62,8.93,61.27,YES
P404,T-Shirt,T-Shirt,177,56,7.75,94.47,NO
P405,Chudidar,Traditional Wear,170,46,6.46,59.08,NO
P406,Chudidar,Traditional Wear,16,4,0.6,5.9,NO
P407,Salwar,Traditional Wear,31,27,4.15,49.52,YES
P408,Cotton Saree,Saree,40,17,2.24,14.69,YES
P409,Cotton Shirt,Shirt,133,32,4.69,55.42,NO
P410,Cotton Shirt,Shirt,26,72,10.45,125.85,YES
P411,Leggings,Women's Wear,147,19,2.51,25.37,NO
P412,Palazzo,Women's Wear,152,47,6.33,69.57,NO
P413,Cotton Saree,Saree,65,35,4.81,37.15,NO
P414,Kurti,Kurti,136,51,6.8,79.93,NO
P415,Salwar,Traditional Wear,91,80,10.84,101.01,YES
P416,Kurti,Kurti,180,67,9.13,95.48,NO
P417,Men's Dhoti,Men's Wear,60,84,11.61,138.41,YES
P418,Men's Dhoti,Men's Wear,165,50,7.5,89.23,YES
P419,Kurti,Kurti,2,72,10.43,118.0,YES
P420,Kurti,Kurti,197,90,14.11,110.92,NO
P421,Kids Dress,Kids Wear,102,13,1.83,23.03,NO
P422,Cotton Saree,Saree,54,8,1.2,11.13,NO
P423,Kurti,Kurti,0,17,2.61,30.89,YES
P424,Chudidar,Traditional Wear,100,15,2.22,24.09,NO
P425,Palazzo,Women's Wear,197,108,15.16,119.41,NO
P426,Palazzo,Women's Wear,44,74,11.11,91.44,YES
P427,Silk Saree,Saree,174,122,16.4,154.6,NO
P428,Jeans,Jeans,25,70,9.66,106.43,YES
P429,Men's Dhoti,Men's Wear,120,37,5.34,42.24,NO
P430,Cotton Shirt,Shirt,141,115,16.68,161.92,YES
P431,Leggings,Women's Wear,181,83,10.72,86.31,NO
P432,Women's Top,Women's Wear,198,113,17.58,194.85,NO
P433,Cotton Shirt,Shirt,45,30,4.45,40.59,NO
P434,Jeans,Jeans,121,91,12.99,84.33,NO
P435,Leggings,Women's Wear,30,13,2.02,15.59,NO
P436,Kids Dress,Kids Wear,58,42,5.93,39.55,NO
P437,Cotton Saree,Saree,28,9,1.41,12.53,YES
P438,T-Shirt,T-Shirt,105,72,10.31,66.7,NO
P439,Cotton Saree,Saree,16,94,12.39,80.75,YES
P440,Cotton Shirt,Shirt,141,132,19.86,236.82,YES
P441,Cotton Shirt,Shirt,163,0,0.0,1.5,NO
P442,Leggings,Women's Wear,185,36,5.42,46.57,NO
P443,Leggings,Women's Wear,23,53,8.26,99.08,YES
P444,Men's Dhoti,Men's Wear,108,8,1.21,5.45,NO
P445,Kids Dress,Kids Wear,190,46,6.72,67.27,NO
P446,Men's Dhoti,Men's Wear,90,46,7.04,68.47,NO
P447,Jeans,Jeans,24,50,7.39,64.87,YES
P448,Kurti,Kurti,186,42,5.89,49.79,NO
P449,Cotton Saree,Saree,31,40,6.15,55.59,YES
